,title,view,like,unlike,comment,date,token2
107,디저트 특집이라고는 했지만 디저트만 먹는다고는 안했2020/Mukbang eating show,984019.0,11000.0,522.0,945.0,2020. 9. 14.,"['디저트', '특집']"
108,[ENG] 떡으로 시작해서평양냉면크로켓 등 먹방편 /20200910방송 편집버전,423610.0,5400.0,102.0,348.0,2020. 9. 13.,"['크로켓', '냉면']"
109,[ENG] 통삼겹김치찜과 계란말이 푸하하크림빵 먹방편 /방송 편집버전   20200907/Mukbang eating show,475891.0,6600.0,139.0,412.0,2020. 9. 12.,"['크림빵', '계란', '김치']"
110,떡으로 시작해서20200910/Mukbang eating show,649900.0,9600.0,301.0,834.0,2020. 9. 10.,[]
111,족발로 시작해서20200909/Mukbang eating show,1086030.0,1000.0,752.0,694.0,2020. 9. 9.,['족발']
112,피자와 치킨은 진리 + 서울우유 아이스크림  20200908/Mukbang eating show,685963.0,8600.0,277.0,551.0,2020. 9. 8.,"['우유', '아이스크림', '서울', '치킨', '진리', '피자']"
113,'푸하하크림빵' 소금크림빵 20200907/Mukbang eating show,333098.0,4500.0,115.0,285.0,2020. 9. 7.,"['크림빵', '소금']"
114,통삼겹김치찜에 계란말이 20200907/Mukbang eating show,499254.0,8700.0,185.0,539.0,2020. 9. 7.,"['계란', '김치']"
115,[ENG] 부추비빔밥과 된장찌개 묵사발 먹방편 /20200903방송 편집버전,211964.0,3300.0,64.0,184.0,2020. 9. 6.,"['부추', '묵사발', '비빔밥', '된장찌개']"
116,[ENG] 햇님의 인생떡볶이 우리할매떡볶이 먹방편 /20200831방송 편집버전,608318.0,8400.0,166.0,434.0,2020. 9. 5.,"['할매', '인생', '떡볶이']"
117,뭬님의 라면가게(참깨라면)  20200904/Mukbang eating show,525919.0,7300.0,236.0,555.0,2020. 9. 5.,"['참깨', '라면', '가게']"
118,(광고예용) 불향 가득 무뼈닭발과 고소한 누룽지에 달달한 마카롱 후식까지  [어디까지팔아봤니2] 20200902/Mukbang,294476.0,4700.0,127.0,352.0,2020. 9. 4.,"['누룽지', '마카롱', '불향', '광고', '고소', '후식']"
119,'맛남의광장' 부추비빔밥해먹기 20200903/Mukbang eating show,408510.0,6700.0,216.0,410.0,2020. 9. 3.,"['남의', '광장', '비빔밥', '부추']"
120,육회로 시작해서 육회로 끝나는20200901/Mukbang eating show,625899.0,1000.0,210.0,586.0,2020. 9. 1.,['육회']
121,'파리크라상' 망고크레이프 케이크 20200831/Mukbang eating show,272060.0,3400.0,99.0,322.0,2020. 8. 31.,"['케이크', '망고', '파리', '크레이프']"
