title,view,like,unlike,comment,date
이제 고만 괴롭혀...........수영복도 나눠 줬으니까.................................. (핑크극복 메이크업 최종회),"조회수 697,487회",1.1만,203,댓글 618개,2019. 8. 31.
"펑티모의 후회템 ""죽은바비핑크색"" 립스틱??! ㅋㅋㅋㅋ 메이크업 파우치 열어보기","조회수 490,518회",6.9천,112,댓글 442개,2019. 8. 26.
"[VLOG 5] 치킨먹고, 테라마시고, 메이크업 쇼핑하고, 그리고 붕괴되었다.","조회수 303,519회",4.8천,85,댓글 442개,2019. 8. 17.
"아시다시피 씬님 집에 전국 화장품 다있음, 레알 메이크업 쇼핑 가능 ^^(feat.네이처 새봄,오로라)","조회수 461,539회",7천,137,댓글 506개,2019. 8. 12.
ㅋㅋㅋㅋㅋㅋㅋ...... (메이크업),"조회수 1,513,113회",2.7만,332,"댓글 1,854개",최초 공개: 2019. 8. 3.
수영복과 어울리는 누디 메이크업면세 한정 맥 트레블 키트 사용법 | SSIN,"조회수 260,066회",4.4천,59,댓글 420개,2019. 8. 2.
다이아페스티벌 2019 무대에서 콜라보하는 걸그룹 ㅇㅇㅇ는 누구일까요??,"조회수 43,665회",680,12,댓글 81개,2019. 7. 29.
소근커플 '소영' 회장님께 화장품 단 4개로 메이크업을 받아 보았다. | SSIN x SK couple,"조회수 781,764회",1.5만,242,"댓글 1,087개",2019. 7. 24.
언니비키니 입고 호캉스다녀올게...^^ 데일리 워터프루프 메이크업,"조회수 631,710회",7.8천,199,댓글 501개,2019. 7. 18.
"씬님 브러쉬 1만개 판매돌파 최대53%감사할인 + 브러시 자세한 사용법, 브러시 세척법","조회수 288,849회",4.4천,80,댓글 456개,2019. 7. 13.
2편 럭셔리 원브랜드 메이크업 : 톰포드 (색조편) TOM FORD one brand makeup | SSIN,"조회수 246,128회",5.4천,81,댓글 429개,2019. 7. 11.
역대급소비 럭셔리 원브랜드 메이크업 : 톰포드 (베이스편) TOM FORD one brand makeup | SSIN,"조회수 394,605회",8.8천,155,댓글 797개,2019. 7. 10.
"ZARA, 우리 립스틱 제대로 만들자...^^ 자라 메이크업 한국 상륙! 전색상 발색 & 리뷰 하울 | SSIN","조회수 642,662회",1만,291,댓글 625개,2019. 7. 6.
"[VLOG 4] 엘에이 놀러갔는데 숙소 거실에 토끼가 있음...? 먹부림, 쇼핑부림, 감기부림...","조회수 174,396회",2.8천,48,댓글 234개,2019. 6. 27.
GRWM저 안취했어요! 멀쩡해요!월디페 뿌시러가는 페스티벌 메이크업 with 고등학교 베프들,"조회수 516,777회",6.8천,230,댓글 423개,2019. 6. 18.
[VLOG 3] 늘.씬.소.근  네명이서 호주 여행간 브이로그의외의 조합? 의외의 케미? 무슨일이?,"조회수 256,359회",3.3천,71,댓글 197개,2019. 6. 14.
GRWM : 씬님 x 하늘 feat.소근커플 소영  [겟레디윗미] 같이 화장하자! 호주 브리즈번,"조회수 733,869회",8.4천,260,댓글 490개,2019. 6. 9.
40분겟레디도랏ㅋ // 뉴욕골드&볼드 파티 같이 화장하자 + 브이로그 | SSIN,"조회수 772,622회",7.9천,306,댓글 556개,2019. 5. 27.
드래곤에그 & 왕좌의게임대박 신기한 메이크업 제품리뷰 | SSIN,"조회수 396,827회",7천,207,댓글 397개,2019. 5. 16.
[VLOG 2] 배고플때 보면 좀 위험함... 자취 주부 씬님의 냉장고 털어카레 브이로그,"조회수 290,788회",4.5천,72,댓글 304개,2019. 5. 8.
2탄!! 언니 속옷쇼핑 알지? 2탄 또 가져왔어. // 빅토리아 시크릿 쇼핑!,"조회수 444,153회",6.2천,80,댓글 269개,2019. 5. 1.
같이 화장하자!10년만에 치마입음써니오렌지 메이크업 겟레디윗미 | SSIN,"조회수 357,933회",5.2천,139,댓글 350개,2019. 4. 30.
I went out wearing BRATZ Makeup // 브랫츠돌 메이크업하고 무려 '홍대'에 나타난 씬님? //영어더빙// 랜선라이프 방영분!,"조회수 438,266회",1만,173,댓글 563개,2019. 4. 23.
[VLOG 1] 씬님의 노잼 24시간 일상을 공개합니다.,"조회수 371,539회",6.4천,140,댓글 643개,2019. 4. 18.
로드샵 원브랜드 메이크업 : 홀리카 홀리카 Holika Holika Korean one brand makeup | SSIN,"조회수 677,992회",1만,226,댓글 666개,2019. 4. 9.
핑크극복프로젝트8.벚꽃핑크 Overcoming the fear of PINK : Cherry Blossom Pink | SSIN,"조회수 289,218회",4.3천,68,댓글 368개,2019. 4. 5.
"글로우 스킨 ""춰크춰크 쉬크쉬크"" Urban Chic 메이크업 | SSIN","조회수 122,472회",3.3천,42,댓글 253개,2019. 3. 27.
